date,btc_price,eth_price,doge_price,kospi,nasdaq,kor_rate,usa_rate
2023-01-01,-1.3540922264549786,-1.637913930534457,-0.6638298275218185,-2.740025982578518,-1.8679498140182478,-1.254977573858836,-2.0291054516547304
2023-01-02,-1.3514865385625403,-1.6243306131046085,-0.6527755555106319,-2.830231810204625,-1.8679498140182478,-1.254977573858836,-2.0291054516547304
2023-01-03,-1.347634652112849,-1.6146908394447161,-0.6571972643151065,-2.8889959048091463,-1.898706209695623,-1.254977573858836,-2.0291054516547304
2023-01-04,-1.3409221735203722,-1.5660537996152586,-0.6314039629556711,-2.5754192626419683,-1.87093684854623,-1.254977573858836,-2.0291054516547304
2023-01-05,-1.3412903685486517,-1.5726263725651854,-0.6454060408365075,-2.5025316088191953,-1.9303370481234183,-1.254977573858836,-2.0291054516547304
2023-01-06,-1.3429330848286671,-1.5660537996152586,-0.6446690893690951,-2.289669394886948,-1.8281704073055667,-1.254977573858836,-2.0291054516547304
2023-01-07,-1.3423099855500404,-1.5669301426752489,-0.6446690893690951,-2.289669394886948,-1.8281704073055667,-1.254977573858836,-2.0291054516547304
2023-01-08,-1.3376367409603416,-1.544583394645498,-0.634351768825321,-2.289669394886948,-1.8281704073055667,-1.254977573858836,-2.0291054516547304
2023-01-09,-1.3390245529900098,-1.5191694459057816,-0.6188757880096597,-1.7834070519564538,-1.8024942918551878,-1.254977573858836,-2.0291054516547304
2023-01-10,-1.3316323297299404,-1.504271613885948,-0.6004520013243487,-1.7739913458109522,-1.7611014221915118,-1.254977573858836,-2.0291054516547304
2023-01-11,-1.3155167165690993,-1.4525673733465247,-0.5997150498569364,-1.7048867882073526,-1.6879577684130354,-1.254977573858836,-2.0291054516547304
2023-01-12,-1.2852964015557125,-1.4254007384868277,-0.5849760205086876,-1.658060463894455,-1.6610899345240306,-1.254977573858836,-2.0291054516547304
2023-01-13,-1.2498930334519318,-1.3934142167971846,-0.5481284471380656,-1.4816000424711544,-1.63089070590887,0.4168631801279354,-2.0291054516547304
2023-01-14,-1.2193328461047486,-1.3013981954982112,-0.533389417789817,-1.4816000424711544,-1.63089070590887,0.4168631801279354,-2.0291054516547304
2023-01-15,-1.2206073673564846,-1.293511107958299,-0.5407589324639412,-1.4816000424711544,-1.63089070590887,0.4168631801279354,-2.0291054516547304
2023-01-16,-1.2055396938915155,-1.2584573855586902,-0.55549796181219,-1.365837298164398,-1.63089070590887,0.4168631801279354,-2.0291054516547304
2023-01-17,-1.2087401583680972,-1.2724788745185338,-0.5628674764863144,-1.5379261417344297,-1.6247193068517034,0.4168631801279354,-2.0291054516547304
2023-01-18,-1.2239494453054816,-1.328564830357908,-0.5871868749109249,-1.6309903087261335,-1.6781531758043462,0.4168631801279354,-2.0291054516547304
2023-01-19,-1.2101562930922485,-1.2843095058284018,-0.5776065058345632,-1.5299396052717245,-1.7186793411490222,0.4168631801279354,-2.0291054516547304
2023-01-20,-1.158580666438661,-1.1804628532195602,-0.5407589324639412,-1.4045089484048534,-1.6071840212547899,0.4168631801279354,-2.0291054516547304
2023-01-21,-1.1498855992323727,-1.202371429719316,-0.5407589324639412,-1.4045089484048534,-1.6071840212547899,0.4168631801279354,-2.0291054516547304
2023-01-22,-1.1482712056468403,-1.1927316560594234,-0.5112808737674438,-1.4045089484048534,-1.6071840212547899,0.4168631801279354,-2.0291054516547304
2023-01-23,-1.142068535555058,-1.1962370282993844,-0.5112808737674438,-1.4045089484048534,-1.5205213277861958,0.4168631801279354,-2.0291054516547304
2023-01-24,-1.1493757907316782,-1.2667826446285972,-0.5407589324639412,-1.4045089484048534,-1.5321831439355993,0.4168631801279354,-2.0291054516547304
2023-01-25,-1.1384715533557137,-1.2172692617391496,-0.533389417789817,-1.1244757593810295,-1.540273673984837,0.4168631801279354,-2.0291054516547304
2023-01-26,-1.132976950626007,-1.2120112033792083,-0.5260199031156926,-0.787527989459839,-1.4632569352808293,0.4168631801279354,-2.0291054516547304
2023-01-27,-1.1324104967363466,-1.2198982909191203,-0.5186503884415682,-0.6583142363737943,-1.4209664075724746,0.4168631801279354,-2.0291054516547304
2023-01-28,-1.1292100322597647,-1.2356724659989444,-0.5112808737674438,-0.6583142363737943,-1.4209664075724746,0.4168631801279354,-2.0291054516547304
2023-01-29,-1.112018156708569,-1.1760811379196092,-0.48917232974507063,-0.6583142363737943,-1.4209664075724746,0.4168631801279354,-2.0291054516547304
2023-01-30,-1.1393212341902046,-1.2510084695487733,-0.5039113590933194,-0.9403650767145135,-1.509145833599319,0.4168631801279354,-2.0291054516547304
2023-01-31,-1.1291817095652819,-1.2308525791689982,-0.4302162123520756,-1.1538157722808557,-1.4353444131501731,0.4168631801279354,-2.0291054516547304
2023-02-01,-1.1134342914327202,-1.1822155393395408,-0.4596942710485731,-0.9459976866408376,-1.3456676006436272,0.4168631801279354,-2.0291054516547304
2023-02-02,-1.1140007453223806,-1.1611833058997754,-0.48180281507094624,-0.785594406947816,-1.1968962566009693,0.4168631801279354,-1.3278780578875395
2023-02-03,-1.1187589579955288,-1.1445327877599611,-0.46706378572269747,-0.6887471437369349,-1.2719048723515798,0.4168631801279354,-1.3278780578875395
2023-02-04,-1.119098830329325,-1.1383983863400295,-0.43758572702619997,-0.6887471437369349,-1.2719048723515798,0.4168631801279354,-1.3278780578875395
2023-02-05,-1.1312775889570255,-1.1734521087396386,-0.4596942710485731,-0.6887471437369349,-1.2719048723515798,0.4168631801279354,-1.3278780578875395
