"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 08- 23","17,877.79","17,772.73","17,941.27","17,700.27","1.00B","1.47%"
"2024- 08- 22","17,619.35","17,993.72","18,017.69","17,589.15","938.95M","-1.67%"
"2024- 08- 21","17,918.99","17,840.51","17,963.07","17,790.98","892.18M","0.57%"
"2024- 08- 20","17,816.94","17,849.09","17,932.53","17,758.20","905.04M","-0.33%"
"2024- 08- 19","17,876.77","17,649.74","17,877.44","17,585.58","1.01B","1.39%"
"2024- 08- 16","17,631.72","17,516.40","17,674.65","17,502.82","989.75M","0.21%"
"2024- 08- 15","17,594.50","17,394.54","17,602.72","17,375.41","1.13B","2.34%"
"2024- 08- 14","17,192.60","17,227.64","17,260.73","17,032.17","948.92M","0.03%"
"2024- 08- 13","17,187.61","16,944.73","17,192.79","16,943.95","1.07B","2.43%"
"2024- 08- 12","16,780.61","16,793.64","16,895.79","16,699.39","4.10B","0.21%"
"2024- 08- 09","16,745.30","16,636.52","16,789.22","16,574.57","1.01B","0.51%"
"2024- 08- 08","16,660.02","16,408.27","16,694.25","16,262.93","1.17B","2.87%"
"2024- 08- 07","16,195.81","16,622.31","16,709.81","16,179.53","1.22B","-1.05%"
"2024- 08- 06","16,366.86","16,261.36","16,620.31","16,137.65","1.19B","1.03%"
"2024- 08- 05","16,200.08","15,712.53","16,453.46","15,708.54","1.53B","-3.43%"
"2024- 08- 02","16,776.16","16,780.45","16,920.63","16,582.79","1.34B","-2.43%"
"2024- 08- 01","17,194.14","17,647.03","17,791.59","17,051.42","1.32B","-2.30%"
"2024- 07- 31","17,599.40","17,499.23","17,693.98","17,438.60","1.34B","2.64%"
"2024- 07- 30","17,147.42","17,424.10","17,468.56","17,015.38","1.11B","-1.28%"
"2024- 07- 29","17,370.20","17,444.39","17,535.32","17,299.83","909.68M","0.07%"
"2024- 07- 26","17,357.88","17,331.95","17,454.57","17,239.99","972.96M","1.03%"
"2024- 07- 25","17,181.72","17,352.64","17,544.46","17,033.96","1.20B","-0.93%"
