market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-ETH,2023-01-01 00:00:00+00:00,2023-01-01 09:00:00,1524000.0,1535500.0,1519000.0,1528000.0,1672617597664,10585761629.68307,6939.24978598,1525000.0,3000.0,0.0019672131
KRW-ETH,2023-01-02 00:00:00+00:00,2023-01-02 09:00:00,1526500.0,1559500.0,1517500.0,1543500.0,1672703997332,24645927521.108807,15985.15740468,1528000.0,15500.0,0.0101439791
KRW-ETH,2023-01-03 00:00:00+00:00,2023-01-03 09:00:00,1542500.0,1561000.0,1541500.0,1554500.0,1672790397882,20386043318.343586,13129.52565995,1543500.0,11000.0,0.0071266602
KRW-ETH,2023-01-04 00:00:00+00:00,2023-01-04 09:00:00,1554500.0,1622500.0,1553500.0,1610000.0,1672876798395,39024414057.45501,24454.26040321,1554500.0,55500.0,0.0357027983
KRW-ETH,2023-01-05 00:00:00+00:00,2023-01-05 09:00:00,1610000.0,1614000.0,1589000.0,1602500.0,1672963198081,24035390201.5543,15009.41414501,1610000.0,-7500.0,-0.0046583851
KRW-ETH,2023-01-06 00:00:00+00:00,2023-01-06 09:00:00,1602500.0,1619500.0,1575500.0,1610000.0,1673049599788,28642782290.45908,17944.20535514,1602500.0,7500.0,0.0046801872
KRW-ETH,2023-01-07 00:00:00+00:00,2023-01-07 09:00:00,1609500.0,1615500.0,1603500.0,1609000.0,1673135996715,13168060165.941416,8188.42654967,1610000.0,-1000.0,-0.000621118
KRW-ETH,2023-01-08 00:00:00+00:00,2023-01-08 09:00:00,1608000.0,1639500.0,1600000.0,1634500.0,1673222397865,15716872311.444904,9740.45544412,1609000.0,25500.0,0.015848353
KRW-ETH,2023-01-09 00:00:00+00:00,2023-01-09 09:00:00,1633500.0,1688000.0,1627000.0,1663500.0,1673308796337,46209558164.13791,27871.12087451,1634500.0,29000.0,0.0177424289
KRW-ETH,2023-01-10 00:00:00+00:00,2023-01-10 09:00:00,1661000.0,1693000.0,1654500.0,1680500.0,1673395200038,32742171387.532677,19557.02169213,1663500.0,17000.0,0.0102194169
KRW-ETH,2023-01-11 00:00:00+00:00,2023-01-11 09:00:00,1680500.0,1745000.0,1668000.0,1739500.0,1673481599567,34755055938.04014,20554.06036094,1680500.0,59000.0,0.0351085986
KRW-ETH,2023-01-12 00:00:00+00:00,2023-01-12 09:00:00,1738000.0,1800000.0,1718500.0,1770500.0,1673567999758,83479577997.10413,47485.94533828,1739500.0,31000.0,0.017821213
KRW-ETH,2023-01-13 00:00:00+00:00,2023-01-13 09:00:00,1770000.0,1824000.0,1753000.0,1807000.0,1673654396951,61663275790.71977,34629.79180923,1770500.0,36500.0,0.0206156453
KRW-ETH,2023-01-14 00:00:00+00:00,2023-01-14 09:00:00,1807000.0,1947500.0,1803500.0,1912000.0,1673740798874,171979417403.1146,90423.82535039,1807000.0,105000.0,0.0581073603
KRW-ETH,2023-01-15 00:00:00+00:00,2023-01-15 09:00:00,1912000.0,1936000.0,1876000.0,1921000.0,1673827199935,46390615201.47928,24401.15547827,1912000.0,9000.0,0.004707113
KRW-ETH,2023-01-16 00:00:00+00:00,2023-01-16 09:00:00,1922000.0,1988000.0,1895000.0,1961000.0,1673913598885,61887378863.842926,31947.05590299,1921000.0,40000.0,0.0208224883
KRW-ETH,2023-01-17 00:00:00+00:00,2023-01-17 09:00:00,1959500.0,1988000.0,1918500.0,1945000.0,1673999999087,50649901177.344246,25945.82345604,1961000.0,-16000.0,-0.0081591025
