market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-BTC,2023-01-01 00:00:00+00:00,2023-01-01 09:00:00,21079000.0,21171000.0,21002000.0,21123000.0,1672617597561,31357935910.19095,1486.46755344,21079000.0,44000.0,0.0020873855
KRW-BTC,2023-01-02 00:00:00+00:00,2023-01-02 09:00:00,21128000.0,21400000.0,21047000.0,21215000.0,1672703999647,54848830815.83244,2578.84453056,21123000.0,92000.0,0.0043554419
KRW-BTC,2023-01-03 00:00:00+00:00,2023-01-03 09:00:00,21209000.0,21451000.0,21178000.0,21351000.0,1672790398972,44770082696.67454,2097.6153058,21215000.0,136000.0,0.0064105586
KRW-BTC,2023-01-04 00:00:00+00:00,2023-01-04 09:00:00,21351000.0,21732000.0,21341000.0,21588000.0,1672876797009,53380293695.68614,2479.24818185,21351000.0,237000.0,0.0111001827
KRW-BTC,2023-01-05 00:00:00+00:00,2023-01-05 09:00:00,21589000.0,21641000.0,21404000.0,21575000.0,1672963199288,76705645075.08919,3563.01023528,21588000.0,-13000.0,-0.0006021864
KRW-BTC,2023-01-06 00:00:00+00:00,2023-01-06 09:00:00,21575000.0,21593000.0,21280000.0,21517000.0,1673049598977,70377645236.41975,3285.37671627,21575000.0,-58000.0,-0.0026882966
KRW-BTC,2023-01-07 00:00:00+00:00,2023-01-07 09:00:00,21517000.0,21585000.0,21467000.0,21539000.0,1673136000038,27012968306.16817,1254.83333687,21517000.0,22000.0,0.0010224474
KRW-BTC,2023-01-08 00:00:00+00:00,2023-01-08 09:00:00,21539000.0,21760000.0,21498000.0,21704000.0,1673222397085,33262049871.32534,1541.66935544,21539000.0,165000.0,0.0076605228
KRW-BTC,2023-01-09 00:00:00+00:00,2023-01-09 09:00:00,21704000.0,21844000.0,21628000.0,21655000.0,1673308798476,75081619993.3402,3454.03347779,21704000.0,-49000.0,-0.0022576484
KRW-BTC,2023-01-10 00:00:00+00:00,2023-01-10 09:00:00,21655000.0,21960000.0,21558000.0,21916000.0,1673395198252,57169463342.88351,2628.4345643,21655000.0,261000.0,0.0120526437
KRW-BTC,2023-01-11 00:00:00+00:00,2023-01-11 09:00:00,21916000.0,22501000.0,21871000.0,22485000.0,1673481597400,67549706544.62822,3066.63549183,21916000.0,569000.0,0.0259627669
KRW-BTC,2023-01-12 00:00:00+00:00,2023-01-12 09:00:00,22475000.0,23900000.0,22415000.0,23552000.0,1673568000029,175962676010.68182,7650.90163135,22485000.0,1067000.0,0.0474538581
KRW-BTC,2023-01-13 00:00:00+00:00,2023-01-13 09:00:00,23546000.0,24902000.0,23378000.0,24802000.0,1673654400007,154690557690.01593,6444.40501392,23552000.0,1250000.0,0.0530740489
KRW-BTC,2023-01-14 00:00:00+00:00,2023-01-14 09:00:00,24802000.0,26201000.0,24766000.0,25881000.0,1673740799979,368030866312.4087,14303.12399754,24802000.0,1079000.0,0.0435045561
KRW-BTC,2023-01-15 00:00:00+00:00,2023-01-15 09:00:00,25873000.0,25990000.0,25447000.0,25836000.0,1673827199033,122545469551.98186,4769.18417993,25881000.0,-45000.0,-0.0017387273
KRW-BTC,2023-01-16 00:00:00+00:00,2023-01-16 09:00:00,25857000.0,26585000.0,25600000.0,26368000.0,1673913599159,142897849280.86865,5477.23271265,25836000.0,532000.0,0.0205914228
KRW-BTC,2023-01-17 00:00:00+00:00,2023-01-17 09:00:00,26327000.0,26662000.0,25989000.0,26255000.0,1673999999666,104329154969.41342,3964.85483208,26368000.0,-113000.0,-0.0042854976
KRW-BTC,2023-01-18 00:00:00+00:00,2023-01-18 09:00:00,26255000.0,26795000.0,25502000.0,25718000.0,1674086399986,216709523822.4465,8246.64292241,26255000.0,-537000.0,-0.020453247
KRW-BTC,2023-01-19 00:00:00+00:00,2023-01-19 09:00:00,25701000.0,26299000.0,25690000.0,26205000.0,1674172797701,84733146461.64787,3265.22551081,25718000.0,487000.0,0.0189361537
KRW-BTC,2023-01-20 00:00:00+00:00,2023-01-20 09:00:00,26208000.0,28105000.0,26101000.0,28026000.0,1674259200075,161784217903.01144,6019.1130748,26205000.0,1821000.0,0.0694905552
KRW-BTC,2023-01-21 00:00:00+00:00,2023-01-21 09:00:00,28025000.0,29000000.0,27721000.0,28333000.0,1674345599567,203651446324.33414,7165.77976055,28026000.0,307000.0,0.010954114
